# timesteps,(%) wins,(%) losses,(%) draws,(%) invalid

417000, 61.0, 36.0, 3.0, 0.0
418000, 60.0, 40.0, 0.0, 0.0
419000, 60.0, 40.0, 0.0, 0.0
420000, 59.0, 40.0, 1.0, 0.0
421000, 54.0, 45.0, 1.0, 0.0
422000, 51.0, 45.0, 4.0, 0.0
423000, 52.0, 45.0, 3.0, 0.0
424000, 47.0, 51.0, 2.0, 0.0
425000, 62.0, 35.0, 3.0, 0.0
426000, 66.0, 33.0, 1.0, 0.0
427000, 64.0, 35.0, 1.0, 0.0
428000, 62.0, 37.0, 1.0, 0.0
429000, 54.0, 44.0, 2.0, 0.0
430000, 68.0, 32.0, 0.0, 0.0
431000, 64.0, 34.0, 2.0, 0.0
432000, 65.0, 34.0, 1.0, 0.0
433000, 56.0, 43.0, 1.0, 0.0
434000, 56.0, 44.0, 0.0, 0.0
435000, 66.0, 33.0, 1.0, 0.0
436000, 58.0, 38.0, 4.0, 0.0
437000, 73.0, 25.0, 2.0, 0.0
438000, 71.0, 27.0, 2.0, 0.0
439000, 68.0, 31.0, 1.0, 0.0
440000, 64.0, 36.0, 0.0, 0.0
441000, 71.0, 27.0, 2.0, 0.0
442000, 65.0, 30.0, 5.0, 0.0
443000, 57.0, 41.0, 2.0, 0.0
444000, 61.0, 37.0, 2.0, 0.0
445000, 60.0, 38.0, 2.0, 0.0
446000, 62.0, 38.0, 0.0, 0.0
447000, 67.0, 33.0, 0.0, 0.0
448000, 53.0, 46.0, 1.0, 0.0
449000, 68.0, 32.0, 0.0, 0.0
450000, 68.0, 32.0, 0.0, 0.0
451000, 62.0, 36.0, 2.0, 0.0
452000, 61.0, 36.0, 3.0, 0.0
453000, 63.0, 34.0, 3.0, 0.0
454000, 62.0, 38.0, 0.0, 0.0
455000, 63.0, 37.0, 0.0, 0.0
456000, 58.0, 40.0, 2.0, 0.0
457000, 66.0, 32.0, 2.0, 0.0
458000, 58.0, 39.0, 3.0, 0.0
459000, 61.0, 36.0, 3.0, 0.0
460000, 62.0, 37.0, 1.0, 0.0
461000, 62.0, 35.0, 3.0, 0.0
462000, 67.0, 33.0, 0.0, 0.0
463000, 57.0, 42.0, 1.0, 0.0
464000, 60.0, 36.0, 4.0, 0.0
465000, 60.0, 38.0, 2.0, 0.0
466000, 59.0, 39.0, 2.0, 0.0
467000, 49.0, 49.0, 2.0, 0.0
468000, 68.0, 31.0, 1.0, 0.0
469000, 62.0, 37.0, 1.0, 0.0
470000, 64.0, 36.0, 0.0, 0.0
471000, 62.0, 37.0, 1.0, 0.0
472000, 68.0, 31.0, 1.0, 0.0
473000, 54.0, 39.0, 7.0, 0.0
474000, 61.0, 37.0, 2.0, 0.0
475000, 60.0, 39.0, 1.0, 0.0
476000, 65.0, 33.0, 2.0, 0.0
477000, 60.0, 36.0, 4.0, 0.0
478000, 64.0, 34.0, 2.0, 0.0
479000, 55.0, 43.0, 2.0, 0.0
480000, 58.0, 39.0, 3.0, 0.0
481000, 65.0, 34.0, 1.0, 0.0
482000, 63.0, 35.0, 2.0, 0.0
483000, 63.0, 35.0, 2.0, 0.0
484000, 63.0, 37.0, 0.0, 0.0
485000, 62.0, 38.0, 0.0, 0.0
486000, 66.0, 33.0, 1.0, 0.0
487000, 71.0, 27.0, 2.0, 0.0
488000, 51.0, 47.0, 2.0, 0.0
489000, 63.0, 34.0, 3.0, 0.0
490000, 68.0, 32.0, 0.0, 0.0
491000, 58.0, 39.0, 3.0, 0.0
492000, 60.0, 39.0, 1.0, 0.0
493000, 56.0, 41.0, 3.0, 0.0
494000, 60.0, 39.0, 1.0, 0.0
495000, 53.0, 45.0, 2.0, 0.0
496000, 58.0, 40.0, 2.0, 0.0
497000, 61.0, 38.0, 1.0, 0.0
498000, 63.0, 35.0, 2.0, 0.0
499000, 61.0, 38.0, 1.0, 0.0
500000, 68.0, 30.0, 2.0, 0.0
501000, 62.0, 35.0, 3.0, 0.0
502000, 67.0, 33.0, 0.0, 0.0
503000, 67.0, 31.0, 2.0, 0.0
504000, 66.0, 33.0, 1.0, 0.0
505000, 55.0, 43.0, 2.0, 0.0
506000, 58.0, 39.0, 3.0, 0.0
507000, 69.0, 31.0, 0.0, 0.0
508000, 71.0, 27.0, 2.0, 0.0
509000, 62.0, 35.0, 3.0, 0.0
510000, 59.0, 39.0, 2.0, 0.0
511000, 54.0, 42.0, 4.0, 0.0
512000, 66.0, 31.0, 3.0, 0.0
513000, 68.0, 31.0, 1.0, 0.0
514000, 58.0, 42.0, 0.0, 0.0
515000, 60.0, 38.0, 2.0, 0.0
516000, 64.0, 36.0, 0.0, 0.0
517000, 61.0, 34.0, 5.0, 0.0
518000, 64.0, 34.0, 2.0, 0.0
519000, 65.0, 33.0, 2.0, 0.0
520000, 60.0, 37.0, 3.0, 0.0
521000, 63.0, 37.0, 0.0, 0.0
522000, 69.0, 31.0, 0.0, 0.0
523000, 62.0, 36.0, 2.0, 0.0
524000, 65.0, 34.0, 1.0, 0.0
525000, 62.0, 38.0, 0.0, 0.0
526000, 62.0, 37.0, 1.0, 0.0
527000, 63.0, 32.0, 5.0, 0.0
528000, 60.0, 39.0, 1.0, 0.0
529000, 63.0, 35.0, 2.0, 0.0
530000, 60.0, 38.0, 2.0, 0.0
531000, 65.0, 32.0, 3.0, 0.0
532000, 66.0, 34.0, 0.0, 0.0
533000, 64.0, 35.0, 1.0, 0.0
534000, 64.0, 35.0, 1.0, 0.0
535000, 69.0, 30.0, 1.0, 0.0
536000, 59.0, 40.0, 1.0, 0.0
537000, 54.0, 45.0, 1.0, 0.0
538000, 63.0, 34.0, 3.0, 0.0
539000, 66.0, 34.0, 0.0, 0.0
540000, 65.0, 34.0, 1.0, 0.0
541000, 66.0, 33.0, 1.0, 0.0
542000, 62.0, 36.0, 2.0, 0.0
543000, 58.0, 42.0, 0.0, 0.0
544000, 63.0, 33.0, 4.0, 0.0
545000, 65.0, 32.0, 3.0, 0.0
546000, 60.0, 37.0, 3.0, 0.0
547000, 70.0, 29.0, 1.0, 0.0
548000, 64.0, 34.0, 2.0, 0.0
549000, 68.0, 30.0, 2.0, 0.0
550000, 56.0, 41.0, 3.0, 0.0
551000, 64.0, 36.0, 0.0, 0.0
552000, 67.0, 30.0, 3.0, 0.0
553000, 75.0, 21.0, 4.0, 0.0
554000, 65.0, 32.0, 3.0, 0.0
555000, 75.0, 24.0, 1.0, 0.0
556000, 71.0, 28.0, 1.0, 0.0
557000, 59.0, 39.0, 2.0, 0.0
558000, 65.0, 33.0, 2.0, 0.0
559000, 60.0, 39.0, 1.0, 0.0
560000, 61.0, 39.0, 0.0, 0.0
561000, 65.0, 34.0, 1.0, 0.0
562000, 59.0, 38.0, 3.0, 0.0
563000, 57.0, 41.0, 2.0, 0.0
564000, 57.0, 41.0, 2.0, 0.0
565000, 65.0, 33.0, 2.0, 0.0
566000, 62.0, 36.0, 2.0, 0.0
567000, 62.0, 37.0, 1.0, 0.0
568000, 61.0, 38.0, 1.0, 0.0
569000, 62.0, 37.0, 1.0, 0.0
570000, 69.0, 31.0, 0.0, 0.0
571000, 62.0, 36.0, 2.0, 0.0
572000, 65.0, 34.0, 1.0, 0.0
573000, 59.0, 37.0, 4.0, 0.0
574000, 69.0, 29.0, 2.0, 0.0
575000, 66.0, 32.0, 2.0, 0.0
576000, 67.0, 33.0, 0.0, 0.0
577000, 65.0, 33.0, 2.0, 0.0
578000, 66.0, 31.0, 3.0, 0.0
579000, 67.0, 31.0, 2.0, 0.0
580000, 56.0, 43.0, 1.0, 0.0
581000, 63.0, 36.0, 1.0, 0.0
582000, 61.0, 39.0, 0.0, 0.0
